source,reference,hypothesis
Jetzt nimmt sich das Weiße Haus von Trump die Freiheitsstatue vor,Now Trump's White House is targeting the Statue of Liberty,Now the White House of Trump takes the Statue of Liberty
"Das sicherste Zeichen eines Regime-Wechsels ist es, wenn sie beginnen, die Statuen zu attackieren.",The surest mark of regime change is when they start attacking the statues.,The safest sign of a regime change is when they begin to attack the statues.
Die Amerikaner schätzen diese ebenso wie jede andere - daher der sorgsam inszenierte Sturz Saddam Husseins auf dem Firdos Platz in Bagdad im Jahr 2003.,Americans appreciate this as well as anyone - hence the carefully stage-manged toppling of Saddam Hussein in Firdos square in Baghdad in 2003.,The Americans appreciate this as well as any other - hence the carefully staged fall of Saddam Hussein on Firdos Square in Baghdad in 2003.
"Stephen Miller, einer der Schlüssel-Ideologen des Trump-Regimes, wusste sicherlich, was er tat, als er eine symbolische Axt in einem hitzigen Streit mit Jim Acosta von CNN über die Vorschläge des Präsidenten zur drastischen Einschränkung der legalen Einwanderung mit zur Freiheitsstatue nahm.","Stephen Miller, one of the key ideologues of the Trump regime, surely knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated argument with CNN's Jim Acosta over the president's proposals to drastically limit legal immigration.","Stephen Miller, one of the key ideologists of the Trump regime, certainly knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated dispute with Jim Acosta of CNN about the President's proposals to drastically restrict legal immigration."
"Um fair zu bleiben, Miller griff nicht die Statue selbst an.","In fairness, Miller did not attack the statue itself.","To be fair, Miller didn't attack the statue himself."
"Eine Horde von Bootsbesitzern und Liberty-Imitatoren hätten ihn gelyncht, wenn er es getan hätte.",A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.,A horde of boat owners and Liberty imitators would have lynched him if he had.
"Aber er griff deren Bedeutung an, und insbesondere die Bedeutung, die ihr zugeschrieben wurde, als das berühmte Gedicht von Emma Lazarus 1903, 17 Jahre nach der Fertigstellung des Denkmals, seiner Basis hinzugefügt wurde.","But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.","But he attacked their meaning, and in particular the meaning attributed to them when the famous poem of Emma Lazarus in 1903, 17 years after the completion of the monument, was added to its base."
"Als Miller Acosta beschimpfte: ""Ich will hier nicht auf ein komplettes Ding über Geschichte eingehen, aber die Freiheitsstatue ist ... ein Symbol amerikanischer Freiheit, das die Welt erleuchtet.","As Miller scolded Acosta: ""I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.","When Miller Acosta scolded: ""I don't want to go into a complete thing about history here, but the Statue of Liberty is ... a symbol of American freedom that illuminates the world."
"Das Gedicht, auf das Sie sich beziehen, das später hinzugefügt wurde und nicht Teil der ursprünglichen Freiheitsstatue ist.""","The poem that you're referring to, that was added later and is not part of the original Statue of Liberty.""","The poem to which you refer, which was added later and is not part of the original Statue of Liberty."""
"Miller liegt sachlich richtig, aber wie er es selbst formulierte, geht es nicht wirklich um Geschichte.","Miller is factually correct, but as he put it himself, this is not really about history.","Miller is factually correct, but as he himself put it, it's not really about history."
"Es geht um die zeitgenössische Resonanz auf die aufrüttelnden Worte von Lazarus, die einzigen, in denen ein Staat nicht nur irgendwelche alten Einwanderer einlädt, sondern die Ärmsten der Armen: ""Deine Müden, deine Armen, / deine bedrängten Massen, die sich danach sehnen, frei zu atmen, / den elenden Abfall deiner reichen Küsten.""","It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: ""Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore.""","It's about the contemporary response to the stirring words of Lazarus, the only one in which a state not only invites any old immigrants, but the poorest of the poor: ""Your tiredness, your poor, / your oppressed masses, who long to breathe freely, / the miserable apostasy of your rich coasts."""
"Es gab nie eine Zeit, in der der ""elende Abfall"" auf unseren Bildschirmen besser zu sehen war.","There has never been a time when the ""wretched refuse"" has been more visible on our screens.","There was never a time when the ""poor waste"" was better seen on our screens."
"Miller engagierte sich nicht in literarischer Kritik - er machte deutlich, dass diese Leute in Trumps USA nicht willkommen sind.",Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.,Miller did not engage in literary criticism - he made it clear that these people are not welcome in Trump's USA.
Dieser Konflikt wegen der Bedeutung einer Statue ist Teil einer breiteren politischen und kulturellen Auseinandersetzung: Es ist in der Tat ein Konflikt um die Bedeutung Amerikas.,This conflict about the meaning of a statue is part of a wider political and cultural war: it is really a conflict about the meaning of America.,This conflict because of the importance of a statue is part of a broader political and cultural debate: it is indeed a conflict about the importance of America.
"Lazarus - und ihre Freunde, die sich dafür einsetzten, ihre Worte nach ihrem Tod an der Basis zu platzieren - wussten sehr gut, dass sie eine hochpolitische Handlung vollzogen.",Lazarus - and her friends who campaigned to place her words at the base after her death - knew very well that they were engaging in a highly political act.,"Lazarus - and her friends, who stood up to place their words at the base after her death - knew very well that they were carrying out a highly political act."
"Die Skulptur sollte die Verbindungen zwischen französischem und amerikanischem Republikanismus zeigen, indem sie in einer abgenutzten klassischen bildlichen Darstellung die weibliche Verkörperung der Freiheit darstellte.","The sculpture was intended to mark the connections between French and American republicanism by representing in a well-worn classical trope, the female embodiment of Liberty.",The sculpture was intended to show the connections between French and American republicanism by depicting in a worn out classical pictorial representation the feminine embodiment of freedom.
Lazarus veränderte diese Bedeutung: In ihrem Gedicht ist die weibliche Figur nicht mehr abstrakt - sie hat eine Stimme erhalten.,Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.,"Lazarus changed this meaning: In her poem, the female figure is no longer abstract - she has received a voice."
Und sie gibt sich selbst einen ganz anderen Namen: Mutter der Exilanten.,And she gives herself a very different name: Mother of Exiles.,And she gives herself a completely different name: Mother of the exiles.
Die Verbindung des Gedichts mit dem Bild ist ein brillanter feministischer Coup und ein verheerender Angriff auf den amerikanischen Nativismus.,The marrying of the poem to the image is a brilliant feminist coup and a devastating attack on American nativism.,The connection of the poem with the image is a brilliant feminist coup and a devastating attack on American nativism.
"Und genau wie Lazarus die Bedeutung der Statue änderte, wollten die Leute vom rechten Flügel dies schon lange zurückwechseln.","And just as Lazarus changed the meaning of the statue, rightwingers have long wanted to change it back.","And just as Lazarus changed the meaning of the statue, the people from the right wing wanted to change this back a long time."
"Der große Schreihals Rush Limbaugh, eine Art Johannes des Täufers für das Kommen von Trump, argumentierte 2010, dass die Freiheitsstatue niemanden einlade, sondern eher eine frühe Neokonservative sei, die die amerikanische Flamme in die umnachtete Welt bringe: ""Lady Liberty geht voran.","The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: ""Lady Liberty is stepping forward.","The great screamer Rush Limbaugh, a kind of John the Baptist for Trump's coming, argued in 2010 that the Statue of Liberty is not inviting anyone, but rather an early neoconservative that brings the American flame to the dead world: ""Lady Liberty is progressing."
Sie soll die Fackel der Freiheit von den Vereinigten Staaten in den Rest der Welt tragen.,She is meant to be carrying the torch of liberty from the United States to the rest of the world.,It is said to carry the torch of freedom from the United States to the rest of the world.
"Die Fackel soll nicht den Weg in die Vereinigten Staaten erleuchten.""","The torch is not to light the way to the United States.""","The torch should not illuminate the way to the United States."""
Ziemlich ungewöhnlich ist Limbaugh hier auf etwas gestoßen.,"Rather unusually, Limbaugh actually hit on something.","Quite unusually, Limbagh has come across something here."
Die Bedeutung der Statue ist ganz und gar eine Frage des Standpunktes der Wahrnehmung.,The meaning of the statue is entirely a matter of the angle of perception.,The meaning of the statue is quite a question of perception's point of view.
"Die große phantasievolle Tat von Lazarus bestand darin, sie so zu sehen, wie sie von den erschöpften, elenden, aber hoffnungsvollen Menschen nach langen und oft schrecklichen Reisen auf den Decks von Schiffen gesehen wurde.","Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.","The great imaginative deed of Lazarus was to see it as seen by the exhausted, wretched, but hopeful people after long and often terrible voyages on the decks of ships."
"Es geht im wahrsten Sinne darum, die Welt aus der Perspektive von Menschen zu sehen, die Zuflucht suchen und eine Chance, ihr Leben zu verbessern.",It is literally about seeing the world from the perspective of people seeking refuge and a chance to better their lives.,"In the truest sense, it is about seeing the world from the perspective of people who seek refuge and a chance to improve their lives."
"Ihre Statue spricht zu ihnen die Worte der Hoffnung und des Willkommens, die sie hören müssen.",Her statue speaks back to them the words of hope and welcome they need to hear.,Their statue speaks to them the words of hope and welcome that they must hear.
"Und das ist natürlich nicht die Perspektive, die Miller und Trump jemals anerkennen möchten.","And of course, this is not the perspective Miller and Trump want ever to recognise.","And that's not, of course, the perspective that Miller and Trump ever want to acknowledge."
"Ihre Fackel soll nicht den Weg erleuchten, sondern den Hass, der ihre einzige Quelle der Macht ist, entzünden.","Their torch is meant not to light the way, but to inflame the hatreds that are their only source of power.","Their torch should not illuminate the way, but ignite the hatred that is their only source of power."
Weltmeisterschaft 2017: Neil Black lobt schottische Mitglieder des Teams von Großbritannien,World Championships 2017: Neil Black praises Scottish members of Team GB,2017 World Cup: Neil Black praises Scottish members of the UK team
"Eilidh Doyle erinnert sich an eine Zeit, als nur zwei Schotten zum Team von Großbritannien gehörten",Eilidh Doyle recalls a time when only two Scots made the GB team,Eilidh Doyle remembers a time when only two Scotsmen were part of the UK team
"Der Leistungsdirektor der Leichtathletik des Vereinigten Königreichs, Neil Black, sagt, dass das 16-köpfige schottische Kontingent im Weltmeisterschaftskader ""einen massiven Beitrag zum Team leisten wird"".","UK Athletics' performance director Neil Black says the 16-strong Scottish contingent in the World Championships squad will make ""a massive contribution to the team.""","The UK Athletics Performance Director, Neil Black, says that the 16-member Scottish contingent in the World Championship squad ""will make a massive contribution to the team""."
"Eine Rekordzahl von schottischen Athleten wurde für London 2017 ausgewählt, das am Freitag startet.","A record number of Scottish athletes have been selected for London 2017, which starts on Friday.","A record number of Scottish athletes was selected for London 2017, which will start on Friday."
"Black glaubt, dass ""sich in Schottland etwas Spezielles entwickelt"" und die Leichtathletik des Vereinigten Königreichs etwas daraus lernen muss.","Black believes ""there's something special evolving"" in Scotland and UK athletics must learn from that.","Black believes that ""something special is developing in Scotland"" and the UK's athletics needs to learn something from it."
"""Wir begrüßen es, und wir versuchen es zu verstehen, und wir werden es weiterführen, bis wir es herausfinden,"" sagte Black.","""We embrace it and we're trying to understand it and we'll push on that until we work it out,"" Black said.","""We welcome it, and we're trying to understand it, and we're going to continue until we figure it out,"" Black said."
"""Ich spreche mit Leuten im Scottish Institute of Sport und sie denken, dass es etwas mit dem zu tun hat, was sie getan haben.","""I speak to people in the Scottish Institute of Sport and they think it's something to do with what they've done.","""I'm talking to people at the Scottish Institute of Sports and they think it has something to do with what they've done."
"Die schottischen Athleten denken, dass es etwas mit dem zu tun hat, was sie getan haben.",Scottish Athletics think it's something to do with what they've done.,The Scottish athletes think it has something to do with what they've done.
"Britische Leichtathletik: Es hat etwas mit dem zu tun, was sie getan haben.",British athletics: it's something to do with what they've done.,British Athletics: It has something to do with what they have done.
Und auch mit dem Typ an der Straßenecke.,"And the guy on the corner street, too.",And with the guy at the street corner.
"Was auch immer die Kombination der Umstände ist, es ist absolut brillant.""","Whatever the combination of circumstances, it's absolutely brilliant.""","Whatever the combination of circumstances is, it is absolutely brilliant."""
"Mehrere der schottischen Athleten sind Medaillen-Anwärter, darunter Laura Muir und Andrew Butchart - die gegen Sir Mo Farah auf der 5.000 m Strecke antreten werden, während Eilidh Doyle von der Mannschaft zum Teamkapitän gewählt wurde.","Several of the Scottish athletes are medal contenders, including Laura Muir and Andrew Butchart - who will race against Sir Mo Farah in the 5,000m, while Eilidh Doyle was voted by the squad to be team captain.","Several of the Scottish athletes are medal candidates, including Laura Muir and Andrew Butchart - who will compete against Sir Mo Farah on the 5,000 m course, while Eilidh Doyle was elected team captain by the team."
"""Eilidh ist ziemlich bescheiden.","""Eilidh is slightly modest.","""Eilidh is quite modest."
"Ihre Kapitäns-Rede war unglaublich"", sagt Black.","Her captain's speech was incredible,"" says Black.","Her captain's speech was incredible,"" says Black."
"""Eine Reihe von Athleten, egal ob sie schottisch waren oder wo auch immer sie leben oder trainieren, gingen aus dem Raum und fühlten sich sehr stolz und waren sehr motiviert.","""A number of athletes, whether they were Scottish or wherever they live or train, walked out of that room feeling hugely proud and really motivated.","""A number of athletes, regardless of whether they were Scottish or wherever they live or train, left the room and felt very proud and very motivated."
"Die Leidenschaft und das echte Gefühl, das Eilidh ganz natürlich einbrachte, waren großartig.""","The passion and real feeling that Eilidh naturally put into it were great.""","The passion and the real feeling that Eilidh brought naturally was great."""
"Die Commonwealth-Silbermedaillengewinnerin, die bei ihren fünften Weltmeisterschaften bei den 400-m-Hürden antreten wird, sagt, dass es ""unglaublich"" ist, dass 16 Schotten in der britischen Mannschaft sind.","The Commonwealth silver medallist, who will compete in the 400m hurdles at her fifth World Championships, says it's ""incredible"" 16 Scots are in the British team.","The Commonwealth silver medalist, who will compete in the 400m hurdles at her fifth World Championships, says that it is ""unbelievable"" that 16 Scots are in the British team."
"Schottlands bisher beste Gesamtzahl an Athleten bei der Weltmeisterschaft war sieben, die 1983 und 2015 erreicht wurden.","Scotland's previous best total of athletes at the worlds was seven, achieved in 1983 and 2015.",Scotland's best total of athletes in the world championship so far was seven that were achieved in 1983 and 2015.
Der Mittelstreckenläufer Muir führt auf diesem Weg und hat im vergangenen Jahr fünf britische und zwei europäische Rekorde aufgestellt.,"Middle-distance runner Muir is leading the way, having set five British and two European records in the past year.",The medium-range runner Muir leads this way and has set five British and two European records last year.
Sie wird an den 1.500 m und den 5.000 m Läufen teilnehmen.,"She will go in the 1500m and the 5,000m.","She will participate in the 1,500 m and the 5,000 m runs."
"Chris O'Hare, der 1.500 m läuft, ist ein weiterer Schotte, den man nach einer großartigen Saison, die den Sieg bei den British Team Trials und den Anniversary Games beinhaltete, beobachten sollte.","Chris O'Hare, who runs in the 1500m, is another Scot to watch, following a great season that included victory at the British Team trials and the Anniversary Games.","Chris O'Hare, who runs 1,500 m, is another Scotsman to watch after a great season that included winning the British Team Trials and the Anniversary Games."
"Doyle erinnert sich an ihre ersten Weltmeisterschaften, als der einzige andere Schotte im Team Lee McConnell war.","Doyle remembers her first world championships, when the only other Scot in the team was Lee McConnell.",Doyle remembers her first World Championships when the only other Scotsman in the team was Lee McConnell.
"Die Mannschafts-Kapitänin sagt, dass sie ""enorm stolz"" auf die Tatsache ist, dass viele ihrer Landsleute nicht nur zum Team gehören, sondern in manchen Fällen auch bei den Medaillen und bei den Finals mitmischen werden.","The team captain says she's ""hugely proud"" of the fact so many of her compatriots have not only made the team, but, in some cases, will be challenging for medals and competing to make finals.","The team captain says that she is ""extremely proud"" of the fact that many of her compatriots will not only be part of the team, but in some cases also participate in the medals and the finals."
"""Das Besondere daran Team-Kapitänin zu sein, liegt darin, dass sie von den anderen Mitgliedern des Teams gewählt wurde, so dass es sowieso eine große Ehre war, aber zu wissen, dass meine Teamkollegen für mich gestimmt haben und mich gewählt haben, macht es zu etwas ganz Besonderem für mich"", fügte sie hinzu.","""The special thing about being team captain is that it was voted for by the other members of the team, so that it was such a huge honour anyway but to know that your teammates have voted for you and chosen you made it extra-special for me,"" she added.","""The special thing about being a team captain is that she was elected by the other members of the team, so it was a great honor anyway, but knowing that my teammates voted for me and elected me makes it a very special thing for me,"" she added."
"""Offensichtlich bin ich sehr stolz auf all die Schotten, die zum Team gehören.","""Obviously, I'm very proud of all the Scots who've made the team.","""Obviously, I am very proud of all the Scots who belong to the team."
"Es zeigt nur, wie weit wir gekommen sind.",It just shows how far we've come.,It just shows how far we've come.
"Und sie sind hier als etablierte Athleten, Athleten, die auf Podien steigen wollen.","And they're here as well-established athletes, athletes that are going to be looking to get on podiums.","And they're here as established athletes, athletes who want to climb Podien."
Was meine Rede als Kapitänin betrifft?,As for my captain's speech?,What about my speech as captain?
"Ja, ich denke, sie ging gut.","Yeah, I think it went well.","Yeah, I think she was fine."
"Ich habe nur darauf hingewiesen, dass wir in dieser Situation sehr glücklich sind, da wir eine Heim-Weltmeisterschaft haben.",I just drew on the fact that we're very lucky in this situation in that we've got a home World Championships.,I just pointed out that we are very happy in this situation because we have a home world championship.
"Es ist also wirklich wichtig, auf diese Heimunterstützung zu setzen und davon zu profitieren, dass wir wieder im Olympiastadion sind.",So it's really just the importance of drawing on that home support and thriving on the fact that we're back at the Olympic Stadium.,So it is really important to rely on this home support and to benefit from being back in the Olympic Stadium.
"Ich bekomme eine zweite Chance, dort hinauszugehen und zu konkurrieren und es wird einfach so eine tolle Atmosphäre da draußen sein.""","I'm getting a second chance to go out there and compete and it's just going to be such an amazing atmosphere out there.""","I get a second chance to go out there and compete and it'll just be such a great atmosphere out there."""
"Blockieren von Kritikern über Facebook: Bewirb dich nicht um ein öffentliches Amt, wenn du das Einheizen von Wählern nicht vertragen kannst","Blocking critics from Facebook: Don't run for public office, if you can't take heat from voters",Blocking Critics on Facebook: Do Not Apply for a Public Office If You Can't Accept the Heating of Voters
Der Vater unseres Landes wusste etwas von schlechter Presse.,The father of our country knew something about bad press.,The father of our country knew something about bad press.
"Die Amerikaner liebten George Washington, aber es dauerte nicht lange, bis die Zeitungen ihn wegen allem schlugen, von der Innenpolitik bis zu seinen politischen Prinzipien.","Americans loved George Washington, but it didn't take long for newspapers to start slamming him on everything from domestic policy to his political principles.","The Americans loved George Washington, but it didn't take long for the newspapers to beat him for everything, from domestic politics to his political principles."
"Er schimpfte bei der Kritik, sicher.","He chafed at the criticism, sure.","He scolded at the criticism, sure."
Aber er hat seine Kritiker nicht zum Schweigen gebracht.,But he did not silence his critics.,But he didn't silence his critics.
"Denn im Jahr 1783 sagte Washington: ""Die Redefreiheit kann weggenommen werden - und, dumm und stumm werden wir wie die Schafe zum Schlachten geführt.""","Because back in 1783, Washington said, ""the freedom of Speech may be taken away - and, dumb & silent we may be led, like sheep, to the Slaughter.""","Because in 1783 Washington said, ""Free speech can be taken away - and, stupid and mute, we are led to slaughter like the sheep."""
"Das bringt mich nach Maryland zu Gouverneur Larry Hogan, der daran arbeiten muss, mehr wie Washington zu sein.","That brings me to Maryland Gov. Larry Hogan, who needs to work on being more like Washington.","This brings me to Maryland to Governor Larry Hogan, who has to work on being more like Washington."
"Hogans Mitarbeiter haben die Beiträge von mindestens 450 Personen blockiert und gelöscht, die ihre Meinung auf seiner offiziellen Facebook-Seite geäußert haben.",Hogan's staff has blocked and deleted the posts of at least 450 people who voiced their opinions on his official Facebook page.,Hogan's employees have blocked and deleted the posts of at least 450 people who have expressed their opinion on his official Facebook page.
Und die American Civil Liberties Union verklagte ihn deswegen Anfang dieser Woche.,And the American Civil Liberties Union sued him for that earlier this week.,And the American Civil Liberties Union sued him for this earlier this week.
"Der Stab des Gouverneurs entließ die Klage als frivol, und der Online-Kommentar war voll von einer Gegenreaktion mit ""Na, und?"" .","The governor's staff dismissed the lawsuit as frivolous, and the online commentary was rich with a ""who cares?"" backlash.","The governor's staff dismissed the lawsuit as frivolous, and the online comment was full of a counter-reaction with ""Well, and?"" ."
"""Es ist nur Facebook"", sagten viele Leute.","""It's only Facebook,"" plenty of folks said.","""It's just Facebook,"" many people said."
Aber es ist wichtig.,But it matters.,But it's important.
"Und es ist besonders wichtig, wenn es ein Typ wie Hogan ist.",And it especially matters when it's a guy like Hogan.,And it's especially important if it's a guy like Hogan.
"Dies ist ein republikanischer Gouverneur in einem überwältigend demokratischen Staat, der erstaunlich beliebt ist.",This is a Republican governor in an overwhelmingly Democratic state who is astonishingly popular.,This is a Republican governor in an overwhelmingly democratic state that is amazingly popular.
Er hat die zweithöchste Zustimmung der 50 Gouverneure der Nation.,He has the second-highest approval rating of the nation's 50 governors.,He has the second highest approval of the 50 governors of the nation.
Hogan ist kein reaktionärer Hitzkopf.,Hogan is not a reactionary hothead.,Hogan is not a reactionary Hitzkopf.
Er hat eine feste Hand bei der Führung seines Staates und strenge Einhaltung der Prinzipien gezeigt.,He's shown a steady hand in leading his state and a stern adherence to principles.,He has shown a firm hand in the leadership of his state and strict adherence to the principles.
"Er war auch sehr geschickt darin, Facebook als primäres Mittel zu nutzen, um sich mit seinen Wählern zu verbinden und spielend seinen haarlosen Kopf nach Chemotherapie auf seiner Seite zu debütieren.","He's also been pretty deft at using Facebook as a primary means to connect with his constituents, playfully debuting his hairless head after chemo treatments on his page.",He was also very skilled in using Facebook as a primary means of connecting with his voters and playing his hairless head after chemotherapy on his side.
"Daher ist die Blockierung von Personen, die auf die Seite des Gouverneurs kommen - die ein öffentliches Forum ist, das als offiziell bezeichnet wird und von Mitarbeitern, die mit öffentlichen Steuer-Dollars bezahlt werden - unnötig und letztendlich gefährlich.","So blocking people who come to the governor's page - which is a public forum, labeled as official and administered by staff members paid public tax dollars - is unnecessary and ultimately dangerous.","Therefore, the blocking of people who come to the governor's side - which is a public forum called official and by employees who are paid with public tax dollars - is unnecessary and ultimately dangerous."
"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.","In an interview with The Washington Post, Hogan's spokesman Amelia Chasse defended the governor's actions and argued that blocking the comments was nothing more than a moderation."
"Aber es ist zu einfach, das Bild von Trollen oder Spammern oder hasserfüllten Leuten zu benutzen, die online die Peitsche schwingen.",But it's too easy to use the image of trolls or spammers or hateful folks lashing out online.,But it's too easy to use the image of trolls or spammers or hateful people swinging the whip online.
"Die Post sprach mit einigen der wirklichen Leute, die von Hogan blockiert wurden.",The Post talked to some of the real people blocked by Hogan.,The mail spoke to some of the real people who were blocked by Hogan.
"Und das sind nur echte Menschen, die mit ihren gewählten Führern sprechen: ein Lehrer, ein Unternehmer und ein Pfarrer, keine Trolle.","And they're just that - real people talking to their elected leaders: a teacher, a business owner and a pastor, not trolls.","And these are only real people who speak to their elected leaders: a teacher, an entrepreneur and a pastor, not trolls."
"Sie alle sagten, dass ihre Kommentare respektvoll, nachdenklich und nicht profan waren.","They all said that their comments were respectful, thoughtful and not profane.","They all said that their comments were respectful, thoughtful and not profane."
Der Pfarrer zitierte die Bibel in seinem Post und appellierte an Hogans katholischen Glauben.,"The pastor quoted the Bible in his post, appealing to Hogan's Catholic faith.",The priest quoted the Bible in his post and appealed to Hogan's Catholic faith.
"Rechtsanwältin Lakshmi Sarma Ramani von Bowie, Md., war nicht hasserfüllt, aber sie fragte nach Hassverbrechen.","Attorney Lakshmi Sarma Ramani of Bowie, Md., wasn't hateful, but she asked about hate crimes.","Lawyer Lakshmi Sarma Ramani von Bowie, Ms., was not hateful, but she asked about hate crimes."
"""Ich kommentierte höflich, dass ich enttäuscht war, dass es keine Reaktion auf Hassverbrechen und andere aktuelle Nachrichten gab"", schrieb sie im Kommentarbereich der Nachrichtensendung ""The Post"".","""I politely commented that I was disappointed in his lack of response to hate crimes and other recent news items,"" she wrote in the comment section of The Post's news story.","""I politely commented that I was disappointed that there was no response to hate crimes and other news,"" she wrote in the comment section of the news broadcast ""The Post""."
"""Ich schätze diese Idee auch nicht, wenn eine Anzahl von Leuten zum selben Thema Stellung nimmt, dann werden sie von manchen eher als ein so genannter kollektiver Einsatz missachtet und nicht als eine große Gruppe von betroffenen Bürgern anerkannt"".","""I also do not appreciate that idea that when a number of people comment on the same topic, they are immediately disregarded by some as a so-called collective effort, rather than recognized as a large group of concerned citizens.""","""I don't appreciate this idea either, when a number of people comment on the same subject, they are more likely to be disregarded by some as a so-called collective effort and not recognized as a large group of affected citizens."""
"Was die Mitarbeiter des Gouverneurs als ""konzentrierten Spam-Angriff"" bezeichneten, würden andere wahrscheinlich ""Fürsprache"" nennen.","What the governor's staff called a ""concentrated spam attack"" others would probably call ""advocacy.""","What the governor's staff called a ""concentrated spam attack"" would probably be called ""intercession."""
"Die Facebook-Ära macht es einfach, eine Nachricht zuzuschneiden, indem man einfach einen Kritiker blockiert oder ein negativer Kommentar gelöscht wird.",The Facebook era makes it easy to tailor a message by simply blocking a critic or deleting a negative comment.,The Facebook era makes it easy to cut a message by simply blocking a critic or deleting a negative comment.
"Es ist viel sauberer als in früherer Zeit, wenn man das gleiche getan hätte, dass Mitarbeiter entsandt wurden, um Zeitungen mit kritischen Leitartikeln zu sammeln und zu verbrennen oder Demonstranten zu verhaften und zum Schweigen zu bringen.","It's a lot cleaner than the old days, when doing the same would have required sending staff out to collect and burn newspapers with critical editorials or arresting and silencing protesters.",It's much cleaner than in the past if you'd done the same thing that employees were sent to collect and burn newspapers with critical editorials or arrest demonstrators and silence them.
Aber genau das passiert gerade digital.,"But that's exactly what's happening, only digitally.",But that's exactly what's happening digitally.
"Hogan ist nicht der erste öffentliche Beamte, der dafür kritisiert wird, dass er Facebook und andere soziale Medien beschimpft hat.",Hogan isn't the first public official to be criticized for defanging Facebook and other social media.,Hogan is not the first public official to be criticised for insulting Facebook and other social media.
"Präsident Trump wird von Twitter-Nutzern verklagt, die von seinem Twitter-Feed blockiert wurden.",President Trump is being sued by Twitter users who were blocked from his Twitter feed.,President Trump is sued by Twitter users who have been blocked by his Twitter feed.
Einer der ersten Meilensteine in dieser Frage fiel letzte Woche in Virginia.,One of the first landmark rulings on this issue came down last week in Virginia.,One of the first milestones on this issue fell last week in Virginia.
"Der Vorsitzende des Board of Supervisors des Loudoun County verletzte das First Amendment, laut US-Bezirksrichter James C. Cacheris in Alexandria, als sie einen Wähler von ihrer Facebook-Seite verbannte.","The chair of the Loudoun County Board of Supervisors violated the First Amendment, according to U.S. District Judge James C. Cacheris in Alexandria, when she banned a constituent from her Facebook page.","The chairman of the Board of Supervisors of Loudoun County violated the First Amendment, according to US district judge James C. Cacheris in Alexandria, when she banished a voter from her Facebook page."
Und in Kentucky erhielt Gouverneur Matt Bevin (R) auch einen Besuch von der ACLU wegen seiner Verwendung von Facebook und Twitter.,"And in Kentucky, Gov. Matt Bevin (R) also got a visit from the ACLU over his use of Facebook and Twitter.","And in Kentucky, Governor Matt Bevin (R) also received a visit from ACLU because of his use of Facebook and Twitter."
Das sollte nicht so schwer sein.,This shouldn't be so hard.,It shouldn't be that hard.
Zur Zeit Washingtons hatte die Zeit des erschwinglichen Portos eine ähnliche Wirkung wie das Internet.,"In Washington's time, the era of affordable postage had an impact much like the Internet.","At the time of Washington, the time of affordable postage had a similar effect to the Internet."
"Die Anzahl der Zeitungen vervielfachte sich zwischen 1776 und 1800, und anonyme Briefschreiber schlugen auf seine Führung ein.","The number of newspapers quadrupled between 1776 and 1800, and anonymous letter writers hammered his leadership.","The number of newspapers multiplied between 1776 and 1800, and anonymous pens beat his lead."
Und selbst damals hatte Washington anonyme Trolle.,"And even back then, Washington had anonymous trolls.","And even then, Washington had anonymous trolls."
