id,source,hypothesis,reference,bleu,rouge1,rouge2,rougeL,bertscore_f1
79,Bei Kosten von 3000 bis 4000 Euro pro Hektar müssten die Landwirte unterstützt werden.,Farmers would have to be supported at a cost of between EUR 3000 and EUR 4000 per hectare.,The farmers need support to the tune of 3000 to 4000 euros per hectare.,9.3138,0.5,0.0667,0.4375,0.9415
80,"Man hoffe, dass damit die Aufforstung der Flächen noch eine ganze Weile hinausgezogen werden könnte.",It is hoped that the afforestation of the areas could be pulled out for quite a while.,"One hopes that with that, afforestation of the area could then be drawn out for a long while.",11.7725,0.6857,0.3636,0.6857,0.9463
81,"""Der größte Schatz den wir haben, sind die Leute, die in der Landwirtschaft arbeiten und sich Gedanken darum machen, wie sie ihren Betrieb weiter bringen"", betonte der Bürgermeister.","""The greatest treasure we have is the people who work in agriculture and are concerned about how they can continue their operations,"" the mayor stressed.","""The biggest asset that we have are the people who work in agriculture and who give thought to how to bring their businesses forward,"" stressed the mayor.",27.0141,0.6154,0.32,0.5385,0.9422
82,Die Landwirte stehen wegen der Förderung oft in der Kritik,Farmers are often criticised for their support,The farmers are often the target of criticism thanks to the funding.,5.5739,0.3158,0.2353,0.3158,0.933
83,Über die Weidezaunförderung wurden im Jahr 2013 insgesamt 25 Parzellen von elf Teilnehmern eingezäunt.,"In 2013, a total of 25 parcels of eleven participants were fenced in via the willow fence.","Using the pasture fence funding, a total of 25 plots from eleven participants were fenced off in 2013.",33.6374,0.6857,0.4242,0.5143,0.9374
84,"Die Offenhaltungsfläche beträgt damit 40 Hektar, die bis mindestens 2023 nicht aufgeforstet werden dürfen.","The open area is therefore 40 hectares, which may not be afforested until at least 2023.","The areas kept open with these amount to 40 hectares, which may not be afforested until at least 2023.",60.9959,0.8,0.6061,0.7429,0.9669
85,"Von den Gesamtkosten in Höhe von 71 500 Euro wurde die Hälfte über Leader gefördert, ein viertel trug die Gemeinde Fischerbach.","Of the total cost of €71 500, half was supported by Leader, while a quarter was supported by the municipality of Fischerbach.","Of the total costs, to the tune of 71,500 euros, half was funded via Leader, and a quarter was borne by the community of Fischerbach.",15.5886,0.7083,0.4348,0.7083,0.949
86,"Somit verblieben den Landwirten 12 610 Euro, die sie in 16,2 Kilometer Weidezaun investieren mussten.","This left the farmers 12 610 euros, which they had to invest in 16.2 kilometers of pasture fence.","The farmers were thus left with 12,610 euros, which they had to invest in the 16.2-kilometre pasture fence.",40.6251,0.8,0.5789,0.75,0.9583
87,"""Der große Vorteil ist die Langlebigkeit der Zäune"", erklärte Schwendemann.","""The big advantage is the longevity of the fences,"" Schwendemann explained.","""The great advantage is the longevity of the fences,"" explained Schwendemann.",63.397,0.9091,0.6,0.8182,0.9927
88,"Kordula Kovac betonte: ""Ihr macht einen richtig guten Job, ohne Landwirte und Landfrauen geht es nicht"".","Kordula Kovac stressed: ""You are doing a really good job, without farmers and rural women it is not possible"".","Kordula Kovac stressed: ""You're doing a really good job. Without farmers we'd not be able to function.""",32.0414,0.6316,0.5,0.6316,0.9547
89,"Auch für Peter Weiß stand fest: ""Hier werden beste Lebensmittel produziert"".","For Peter Weiß, too, it was clear that ""best food is produced here"".","Peter Weiß is also standing firm: ""First-class foodstuffs are produced here.""",7.2239,0.4,0.1739,0.4,0.9331
90,Die Landschaftspflegerichtlinie (LPR) Baden-Württemberg ermöglicht die staatliche Förderung von Weidezäunen.,The Landscape Maintenance Directive (LPR) Baden-Württemberg enables the state support of pasture fences.,The Baden-Württemberg directive on countryside conservation (LPR) makes the government funding of pasture fences possible.,15.3517,0.625,0.2667,0.5,0.9487
91,Ziel ist die Offenhaltung des Schwarzwalds.,The aim is to keep the Black Forest open.,Its goal is to keep the Black Forest open.,75.9836,0.7778,0.75,0.7778,0.979
92,Voraussetzung ist das Vorhandensein einer von der LPR bezeichneten Förderkulisse.,Prerequisite is the presence of a supporting backdrop designated by the LPR.,A prerequisite is the existence of one of the funding scenarios as outlined by the LPR.,17.5707,0.5714,0.3077,0.5,0.9201
93,Außerdem darf die einzuzäunende Fläche nicht schlepperbewirtschaftbar sein (Hangneigung über 35 Prozent) und muss damit von der Aufforstung bedroht sein.,"In addition, the fenced area must not be able to be managed by tractors (over 35 per cent of the area) and must therefore be threatened by afforestation.","In addition, the fenced-off area is not allowed to be farmable with a tractor (gradient of over 35 per cent) and must therefore be threatened with afforestation.",33.9312,0.7143,0.4074,0.6786,0.9382
94,"Für das Fischerbacher Weidezaunprojekt 2018 läuft derzeit der Antrag von acht Teilnehmern mit 24 Parzellen, die knapp 16 Kilometer Zaun bauen möchten.","For the Fischerbach Weidezaun project 2018, the application is currently being submitted by eight participants with 24 plots, who want to build almost 16 kilometres of fence.","For the 2018 Fischerbach pasture fence project, an application is currently underway from eight participants with 24 plots who would like to build just shy of 16 kilometres of fence.",30.4598,0.7018,0.4364,0.6667,0.9471
95,"Die Offenhaltungsfläche entspricht 35 Hektar, die kalkulierten Kosten liegen bei mehr als 112 000 Euro.",The open area is 35 hectares and the calculated costs are more than 112 000 euros.,"The areas of land to be kept open equate to 35 hectares; the calculated costs amount to more than 112,000 euros.",10.4077,0.6842,0.3889,0.6316,0.9529
96,Ist nichts mehr heilig?,Is nothing sacred anymore?,Is nothing sacred?,42.7287,0.8571,0.8,0.8571,0.9775
97,Jetzt nimmt sich das Weiße Haus von Trump die Freiheitsstatue vor,Now the White House of Trump takes the Statue of Liberty,Now Trump's White House is targeting the Statue of Liberty,28.9978,0.7273,0.4,0.6364,0.9462
98,"Das sicherste Zeichen eines Regime-Wechsels ist es, wenn sie beginnen, die Statuen zu attackieren.",The safest sign of a regime change is when they begin to attack the statues.,The surest mark of regime change is when they start attacking the statues.,32.3772,0.7143,0.4615,0.7143,0.9656
99,Die Amerikaner schätzen diese ebenso wie jede andere - daher der sorgsam inszenierte Sturz Saddam Husseins auf dem Firdos Platz in Bagdad im Jahr 2003.,The Americans appreciate this as well as any other - hence the carefully staged fall of Saddam Hussein on Firdos Square in Baghdad in 2003.,Americans appreciate this as well as anyone - hence the carefully stage-manged toppling of Saddam Hussein in Firdos square in Baghdad in 2003.,45.9246,0.8085,0.6667,0.8085,0.9613
100,"Stephen Miller, einer der Schlüssel-Ideologen des Trump-Regimes, wusste sicherlich, was er tat, als er eine symbolische Axt in einem hitzigen Streit mit Jim Acosta von CNN über die Vorschläge des Präsidenten zur drastischen Einschränkung der legalen Einwanderung mit zur Freiheitsstatue nahm.","Stephen Miller, one of the key ideologists of the Trump regime, certainly knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated dispute with Jim Acosta of CNN about the President's proposals to drastically restrict legal immigration.","Stephen Miller, one of the key ideologues of the Trump regime, surely knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated argument with CNN's Jim Acosta over the president's proposals to drastically limit legal immigration.",63.0518,0.8723,0.7174,0.8511,0.9887
101,"Um fair zu bleiben, Miller griff nicht die Statue selbst an.","To be fair, Miller didn't attack the statue himself.","In fairness, Miller did not attack the statue itself.",18.3603,0.5263,0.3529,0.5263,0.9597
102,"Eine Horde von Bootsbesitzern und Liberty-Imitatoren hätten ihn gelyncht, wenn er es getan hätte.",A horde of boat owners and Liberty imitators would have lynched him if he had.,A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.,46.8591,0.8387,0.6897,0.8387,0.9724
103,"Aber er griff deren Bedeutung an, und insbesondere die Bedeutung, die ihr zugeschrieben wurde, als das berühmte Gedicht von Emma Lazarus 1903, 17 Jahre nach der Fertigstellung des Denkmals, seiner Basis hinzugefügt wurde.","But he attacked their meaning, and in particular the meaning attributed to them when the famous poem of Emma Lazarus in 1903, 17 years after the completion of the monument, was added to its base.","But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.",43.2639,0.8,0.5294,0.6,0.9689
104,"Als Miller Acosta beschimpfte: ""Ich will hier nicht auf ein komplettes Ding über Geschichte eingehen, aber die Freiheitsstatue ist ... ein Symbol amerikanischer Freiheit, das die Welt erleuchtet.","When Miller Acosta scolded: ""I don't want to go into a complete thing about history here, but the Statue of Liberty is ... a symbol of American freedom that illuminates the world.","As Miller scolded Acosta: ""I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.",64.2771,0.8125,0.6129,0.7812,0.9483
105,"Das Gedicht, auf das Sie sich beziehen, das später hinzugefügt wurde und nicht Teil der ursprünglichen Freiheitsstatue ist.""","The poem to which you refer, which was added later and is not part of the original Statue of Liberty.""","The poem that you're referring to, that was added later and is not part of the original Statue of Liberty.""",67.6305,0.878,0.6667,0.8293,0.9755
106,"Miller liegt sachlich richtig, aber wie er es selbst formulierte, geht es nicht wirklich um Geschichte.","Miller is factually correct, but as he himself put it, it's not really about history.","Miller is factually correct, but as he put it himself, this is not really about history.",61.1832,0.875,0.6667,0.8125,0.9929
107,"Es geht um die zeitgenössische Resonanz auf die aufrüttelnden Worte von Lazarus, die einzigen, in denen ein Staat nicht nur irgendwelche alten Einwanderer einlädt, sondern die Ärmsten der Armen: ""Deine Müden, deine Armen, / deine bedrängten Massen, die sich danach sehnen, frei zu atmen, / den elenden Abfall deiner reichen Küsten.""","It's about the contemporary response to the stirring words of Lazarus, the only one in which a state not only invites any old immigrants, but the poorest of the poor: ""Your tiredness, your poor, / your oppressed masses, who long to breathe freely, / the miserable apostasy of your rich coasts.""","It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: ""Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore.""",37.9228,0.7327,0.4444,0.6535,0.9324
108,"Es gab nie eine Zeit, in der der ""elende Abfall"" auf unseren Bildschirmen besser zu sehen war.","There was never a time when the ""poor waste"" was better seen on our screens.","There has never been a time when the ""wretched refuse"" has been more visible on our screens.",32.3858,0.5625,0.3333,0.5625,0.9481
109,"Miller engagierte sich nicht in literarischer Kritik - er machte deutlich, dass diese Leute in Trumps USA nicht willkommen sind.",Miller did not engage in literary criticism - he made it clear that these people are not welcome in Trump's USA.,Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.,66.3282,0.8837,0.7805,0.8837,0.9895
110,Dieser Konflikt wegen der Bedeutung einer Statue ist Teil einer breiteren politischen und kulturellen Auseinandersetzung: Es ist in der Tat ein Konflikt um die Bedeutung Amerikas.,This conflict because of the importance of a statue is part of a broader political and cultural debate: it is indeed a conflict about the importance of America.,This conflict about the meaning of a statue is part of a wider political and cultural war: it is really a conflict about the meaning of America.,40.8973,0.7636,0.5283,0.7636,0.9668
111,"Lazarus - und ihre Freunde, die sich dafür einsetzten, ihre Worte nach ihrem Tod an der Basis zu platzieren - wussten sehr gut, dass sie eine hochpolitische Handlung vollzogen.","Lazarus - and her friends, who stood up to place their words at the base after her death - knew very well that they were carrying out a highly political act.",Lazarus - and her friends who campaigned to place her words at the base after her death - knew very well that they were engaging in a highly political act.,63.5698,0.8421,0.7273,0.8421,0.9631
112,"Die Skulptur sollte die Verbindungen zwischen französischem und amerikanischem Republikanismus zeigen, indem sie in einer abgenutzten klassischen bildlichen Darstellung die weibliche Verkörperung der Freiheit darstellte.",The sculpture was intended to show the connections between French and American republicanism by depicting in a worn out classical pictorial representation the feminine embodiment of freedom.,"The sculpture was intended to mark the connections between French and American republicanism by representing in a well-worn classical trope, the female embodiment of Liberty.",42.7287,0.7547,0.5098,0.7547,0.9556
113,Lazarus veränderte diese Bedeutung: In ihrem Gedicht ist die weibliche Figur nicht mehr abstrakt - sie hat eine Stimme erhalten.,"Lazarus changed this meaning: In her poem, the female figure is no longer abstract - she has received a voice.",Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.,52.9914,0.9189,0.8,0.9189,0.9859
114,Und sie gibt sich selbst einen ganz anderen Namen: Mutter der Exilanten.,And she gives herself a completely different name: Mother of the exiles.,And she gives herself a very different name: Mother of Exiles.,54.4518,0.8696,0.6667,0.8696,0.9804
115,Die Verbindung des Gedichts mit dem Bild ist ein brillanter feministischer Coup und ein verheerender Angriff auf den amerikanischen Nativismus.,The connection of the poem with the image is a brilliant feminist coup and a devastating attack on American nativism.,The marrying of the poem to the image is a brilliant feminist coup and a devastating attack on American nativism.,77.2195,0.9,0.7895,0.9,0.9837
116,"Und genau wie Lazarus die Bedeutung der Statue änderte, wollten die Leute vom rechten Flügel dies schon lange zurückwechseln.","And just as Lazarus changed the meaning of the statue, the people from the right wing wanted to change this back a long time.","And just as Lazarus changed the meaning of the statue, rightwingers have long wanted to change it back.",46.1814,0.7143,0.55,0.6667,0.9549
117,"Der große Schreihals Rush Limbaugh, eine Art Johannes des Täufers für das Kommen von Trump, argumentierte 2010, dass die Freiheitsstatue niemanden einlade, sondern eher eine frühe Neokonservative sei, die die amerikanische Flamme in die umnachtete Welt bringe: ""Lady Liberty geht voran.","The great screamer Rush Limbaugh, a kind of John the Baptist for Trump's coming, argued in 2010 that the Statue of Liberty is not inviting anyone, but rather an early neoconservative that brings the American flame to the dead world: ""Lady Liberty is progressing.","The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: ""Lady Liberty is stepping forward.",46.9372,0.8132,0.5393,0.7473,0.949
118,Sie soll die Fackel der Freiheit von den Vereinigten Staaten in den Rest der Welt tragen.,It is said to carry the torch of freedom from the United States to the rest of the world.,She is meant to be carrying the torch of liberty from the United States to the rest of the world.,57.3465,0.8205,0.6486,0.8205,0.9656
119,"Die Fackel soll nicht den Weg in die Vereinigten Staaten erleuchten.""","The torch should not illuminate the way to the United States.""","The torch is not to light the way to the United States.""",57.9915,0.7826,0.5714,0.7826,0.9691
120,Ziemlich ungewöhnlich ist Limbaugh hier auf etwas gestoßen.,"Quite unusually, Limbagh has come across something here.","Rather unusually, Limbaugh actually hit on something.",9.9801,0.2667,0.0,0.2667,0.896
121,Die Bedeutung der Statue ist ganz und gar eine Frage des Standpunktes der Wahrnehmung.,The meaning of the statue is quite a question of perception's point of view.,The meaning of the statue is entirely a matter of the angle of perception.,36.7876,0.6897,0.4444,0.6207,0.9533
122,"Die große phantasievolle Tat von Lazarus bestand darin, sie so zu sehen, wie sie von den erschöpften, elenden, aber hoffnungsvollen Menschen nach langen und oft schrecklichen Reisen auf den Decks von Schiffen gesehen wurde.","The great imaginative deed of Lazarus was to see it as seen by the exhausted, wretched, but hopeful people after long and often terrible voyages on the decks of ships.","Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.",38.3533,0.7869,0.5763,0.623,0.9563
123,"Es geht im wahrsten Sinne darum, die Welt aus der Perspektive von Menschen zu sehen, die Zuflucht suchen und eine Chance, ihr Leben zu verbessern.","In the truest sense, it is about seeing the world from the perspective of people who seek refuge and a chance to improve their lives.",It is literally about seeing the world from the perspective of people seeking refuge and a chance to better their lives.,47.9015,0.8261,0.6818,0.8261,0.9675
124,"Ihre Statue spricht zu ihnen die Worte der Hoffnung und des Willkommens, die sie hören müssen.",Their statue speaks to them the words of hope and welcome that they must hear.,Her statue speaks back to them the words of hope and welcome they need to hear.,50.0164,0.7742,0.5517,0.7742,0.9696
125,"Und das ist natürlich nicht die Perspektive, die Miller und Trump jemals anerkennen möchten.","And that's not, of course, the perspective that Miller and Trump ever want to acknowledge.","And of course, this is not the perspective Miller and Trump want ever to recognise.",17.5708,0.7742,0.2759,0.6452,0.9674
126,"Ihre Fackel soll nicht den Weg erleuchten, sondern den Hass, der ihre einzige Quelle der Macht ist, entzünden.","Their torch should not illuminate the way, but ignite the hatred that is their only source of power.","Their torch is meant not to light the way, but to inflame the hatreds that are their only source of power.",35.7374,0.7692,0.4865,0.7179,0.9595
127,Weltmeisterschaft 2017: Neil Black lobt schottische Mitglieder des Teams von Großbritannien,2017 World Cup: Neil Black praises Scottish members of the UK team,World Championships 2017: Neil Black praises Scottish members of Team GB,50.0872,0.7826,0.4762,0.6957,0.9672
128,"Eilidh Doyle erinnert sich an eine Zeit, als nur zwei Schotten zum Team von Großbritannien gehörten",Eilidh Doyle remembers a time when only two Scotsmen were part of the UK team,Eilidh Doyle recalls a time when only two Scots made the GB team,30.1304,0.6429,0.3846,0.6429,0.9762
129,"Der Leistungsdirektor der Leichtathletik des Vereinigten Königreichs, Neil Black, sagt, dass das 16-köpfige schottische Kontingent im Weltmeisterschaftskader ""einen massiven Beitrag zum Team leisten wird"".","The UK Athletics Performance Director, Neil Black, says that the 16-member Scottish contingent in the World Championship squad ""will make a massive contribution to the team"".","UK Athletics' performance director Neil Black says the 16-strong Scottish contingent in the World Championships squad will make ""a massive contribution to the team.""",33.5751,0.9231,0.84,0.9231,0.9811
130,"Eine Rekordzahl von schottischen Athleten wurde für London 2017 ausgewählt, das am Freitag startet.","A record number of Scottish athletes was selected for London 2017, which will start on Friday.","A record number of Scottish athletes have been selected for London 2017, which starts on Friday.",60.3161,0.875,0.7333,0.875,0.9852
131,"Black glaubt, dass ""sich in Schottland etwas Spezielles entwickelt"" und die Leichtathletik des Vereinigten Königreichs etwas daraus lernen muss.","Black believes that ""something special is developing in Scotland"" and the UK's athletics needs to learn something from it.","Black believes ""there's something special evolving"" in Scotland and UK athletics must learn from that.",7.3949,0.7222,0.2353,0.6111,0.9587
132,"""Wir begrüßen es, und wir versuchen es zu verstehen, und wir werden es weiterführen, bis wir es herausfinden,"" sagte Black.","""We welcome it, and we're trying to understand it, and we're going to continue until we figure it out,"" Black said.","""We embrace it and we're trying to understand it and we'll push on that until we work it out,"" Black said.",43.8417,0.7391,0.5909,0.7391,0.9651
133,"""Ich spreche mit Leuten im Scottish Institute of Sport und sie denken, dass es etwas mit dem zu tun hat, was sie getan haben.","""I'm talking to people at the Scottish Institute of Sports and they think it has something to do with what they've done.","""I speak to people in the Scottish Institute of Sport and they think it's something to do with what they've done.",47.1799,0.8511,0.7111,0.8511,0.9757
134,"Die schottischen Athleten denken, dass es etwas mit dem zu tun hat, was sie getan haben.",The Scottish athletes think it has something to do with what they've done.,Scottish Athletics think it's something to do with what they've done.,54.3743,0.8889,0.8,0.8889,0.9635
135,"Britische Leichtathletik: Es hat etwas mit dem zu tun, was sie getan haben.",British Athletics: It has something to do with what they have done.,British athletics: it's something to do with what they've done.,32.5596,0.8333,0.6364,0.8333,0.9666
136,Und auch mit dem Typ an der Straßenecke.,And with the guy at the street corner.,"And the guy on the corner street, too.",11.6708,0.75,0.1429,0.625,0.9488
137,"Was auch immer die Kombination der Umstände ist, es ist absolut brillant.""","Whatever the combination of circumstances is, it is absolutely brilliant.""","Whatever the combination of circumstances, it's absolutely brilliant.""",49.7357,0.8421,0.5882,0.8421,0.9811
138,"Mehrere der schottischen Athleten sind Medaillen-Anwärter, darunter Laura Muir und Andrew Butchart - die gegen Sir Mo Farah auf der 5.000 m Strecke antreten werden, während Eilidh Doyle von der Mannschaft zum Teamkapitän gewählt wurde.","Several of the Scottish athletes are medal candidates, including Laura Muir and Andrew Butchart - who will compete against Sir Mo Farah on the 5,000 m course, while Eilidh Doyle was elected team captain by the team.","Several of the Scottish athletes are medal contenders, including Laura Muir and Andrew Butchart - who will race against Sir Mo Farah in the 5,000m, while Eilidh Doyle was voted by the squad to be team captain.",54.5021,0.7838,0.6111,0.7568,0.9841
139,"""Eilidh ist ziemlich bescheiden.","""Eilidh is quite modest.","""Eilidh is slightly modest.",37.9918,0.75,0.3333,0.75,0.9545
140,"Ihre Kapitäns-Rede war unglaublich"", sagt Black.","Her captain's speech was incredible,"" says Black.","Her captain's speech was incredible,"" says Black.",100.0,1.0,1.0,1.0,1.0
141,"""Eine Reihe von Athleten, egal ob sie schottisch waren oder wo auch immer sie leben oder trainieren, gingen aus dem Raum und fühlten sich sehr stolz und waren sehr motiviert.","""A number of athletes, regardless of whether they were Scottish or wherever they live or train, left the room and felt very proud and very motivated.","""A number of athletes, whether they were Scottish or wherever they live or train, walked out of that room feeling hugely proud and really motivated.",53.9968,0.7451,0.5306,0.7059,0.9712
142,"Die Leidenschaft und das echte Gefühl, das Eilidh ganz natürlich einbrachte, waren großartig.""","The passion and the real feeling that Eilidh brought naturally was great.""","The passion and real feeling that Eilidh naturally put into it were great.""",31.3296,0.72,0.4348,0.72,0.9671
143,"Die Commonwealth-Silbermedaillengewinnerin, die bei ihren fünften Weltmeisterschaften bei den 400-m-Hürden antreten wird, sagt, dass es ""unglaublich"" ist, dass 16 Schotten in der britischen Mannschaft sind.","The Commonwealth silver medalist, who will compete in the 400m hurdles at her fifth World Championships, says that it is ""unbelievable"" that 16 Scots are in the British team.","The Commonwealth silver medallist, who will compete in the 400m hurdles at her fifth World Championships, says it's ""incredible"" 16 Scots are in the British team.",66.5986,0.8571,0.7407,0.8571,0.9808
144,"Schottlands bisher beste Gesamtzahl an Athleten bei der Weltmeisterschaft war sieben, die 1983 und 2015 erreicht wurden.",Scotland's best total of athletes in the world championship so far was seven that were achieved in 1983 and 2015.,"Scotland's previous best total of athletes at the worlds was seven, achieved in 1983 and 2015.",38.0914,0.7895,0.5556,0.7895,0.9603
145,Der Mittelstreckenläufer Muir führt auf diesem Weg und hat im vergangenen Jahr fünf britische und zwei europäische Rekorde aufgestellt.,The medium-range runner Muir leads this way and has set five British and two European records last year.,"Middle-distance runner Muir is leading the way, having set five British and two European records in the past year.",34.1163,0.6667,0.3784,0.6154,0.9487
146,Sie wird an den 1.500 m und den 5.000 m Läufen teilnehmen.,"She will participate in the 1,500 m and the 5,000 m runs.","She will go in the 1500m and the 5,000m.",11.1212,0.5833,0.3636,0.5833,0.9494
147,"Chris O'Hare, der 1.500 m läuft, ist ein weiterer Schotte, den man nach einer großartigen Saison, die den Sieg bei den British Team Trials und den Anniversary Games beinhaltete, beobachten sollte.","Chris O'Hare, who runs 1,500 m, is another Scotsman to watch after a great season that included winning the British Team Trials and the Anniversary Games.","Chris O'Hare, who runs in the 1500m, is another Scot to watch, following a great season that included victory at the British Team trials and the Anniversary Games.",41.5939,0.7719,0.6182,0.7719,0.9753
148,"Doyle erinnert sich an ihre ersten Weltmeisterschaften, als der einzige andere Schotte im Team Lee McConnell war.",Doyle remembers her first World Championships when the only other Scotsman in the team was Lee McConnell.,"Doyle remembers her first world championships, when the only other Scot in the team was Lee McConnell.",57.0566,0.9412,0.875,0.9412,0.9869
149,"Die Mannschafts-Kapitänin sagt, dass sie ""enorm stolz"" auf die Tatsache ist, dass viele ihrer Landsleute nicht nur zum Team gehören, sondern in manchen Fällen auch bei den Medaillen und bei den Finals mitmischen werden.","The team captain says that she is ""extremely proud"" of the fact that many of her compatriots will not only be part of the team, but in some cases also participate in the medals and the finals.","The team captain says she's ""hugely proud"" of the fact so many of her compatriots have not only made the team, but, in some cases, will be challenging for medals and competing to make finals.",32.1912,0.7123,0.4507,0.6575,0.9562
150,"""Das Besondere daran Team-Kapitänin zu sein, liegt darin, dass sie von den anderen Mitgliedern des Teams gewählt wurde, so dass es sowieso eine große Ehre war, aber zu wissen, dass meine Teamkollegen für mich gestimmt haben und mich gewählt haben, macht es zu etwas ganz Besonderem für mich"", fügte sie hinzu.","""The special thing about being a team captain is that she was elected by the other members of the team, so it was a great honor anyway, but knowing that my teammates voted for me and elected me makes it a very special thing for me,"" she added.","""The special thing about being team captain is that it was voted for by the other members of the team, so that it was such a huge honour anyway but to know that your teammates have voted for you and chosen you made it extra-special for me,"" she added.",41.7146,0.7143,0.4375,0.7143,0.9601
151,"""Offensichtlich bin ich sehr stolz auf all die Schotten, die zum Team gehören.","""Obviously, I am very proud of all the Scots who belong to the team.","""Obviously, I'm very proud of all the Scots who've made the team.",42.9514,0.7857,0.6154,0.7857,0.9729
152,"Es zeigt nur, wie weit wir gekommen sind.",It just shows how far we've come.,It just shows how far we've come.,100.0,1.0,1.0,1.0,1.0
153,"Und sie sind hier als etablierte Athleten, Athleten, die auf Podien steigen wollen.","And they're here as established athletes, athletes who want to climb Podien.","And they're here as well-established athletes, athletes that are going to be looking to get on podiums.",19.1565,0.5625,0.4,0.5625,0.9305
154,Was meine Rede als Kapitänin betrifft?,What about my speech as captain?,As for my captain's speech?,8.643,0.6667,0.0,0.3333,0.9486
155,"Ja, ich denke, sie ging gut.","Yeah, I think she was fine.","Yeah, I think it went well.",36.5555,0.5,0.4,0.5,0.9566
156,"Ich habe nur darauf hingewiesen, dass wir in dieser Situation sehr glücklich sind, da wir eine Heim-Weltmeisterschaft haben.",I just pointed out that we are very happy in this situation because we have a home world championship.,I just drew on the fact that we're very lucky in this situation in that we've got a home World Championships.,10.3622,0.619,0.35,0.619,0.9358
157,"Es ist also wirklich wichtig, auf diese Heimunterstützung zu setzen und davon zu profitieren, dass wir wieder im Olympiastadion sind.",So it is really important to rely on this home support and to benefit from being back in the Olympic Stadium.,So it's really just the importance of drawing on that home support and thriving on the fact that we're back at the Olympic Stadium.,15.2772,0.5106,0.2222,0.5106,0.9375
158,"Ich bekomme eine zweite Chance, dort hinauszugehen und zu konkurrieren und es wird einfach so eine tolle Atmosphäre da draußen sein.""","I get a second chance to go out there and compete and it'll just be such a great atmosphere out there.""","I'm getting a second chance to go out there and compete and it's just going to be such an amazing atmosphere out there.""",53.6592,0.8085,0.6222,0.8085,0.9834
159,"Blockieren von Kritikern über Facebook: Bewirb dich nicht um ein öffentliches Amt, wenn du das Einheizen von Wählern nicht vertragen kannst",Blocking Critics on Facebook: Do Not Apply for a Public Office If You Can't Accept the Heating of Voters,"Blocking critics from Facebook: Don't run for public office, if you can't take heat from voters",4.5537,0.6316,0.3333,0.6316,0.9401
160,Der Vater unseres Landes wusste etwas von schlechter Presse.,The father of our country knew something about bad press.,The father of our country knew something about bad press.,100.0,1.0,1.0,1.0,1.0
161,"Die Amerikaner liebten George Washington, aber es dauerte nicht lange, bis die Zeitungen ihn wegen allem schlugen, von der Innenpolitik bis zu seinen politischen Prinzipien.","The Americans loved George Washington, but it didn't take long for the newspapers to beat him for everything, from domestic politics to his political principles.","Americans loved George Washington, but it didn't take long for newspapers to start slamming him on everything from domestic policy to his political principles.",54.1467,0.8235,0.6531,0.8235,0.9714
162,"Er schimpfte bei der Kritik, sicher.","He scolded at the criticism, sure.","He chafed at the criticism, sure.",70.7107,0.8333,0.6,0.8333,0.9531
163,Aber er hat seine Kritiker nicht zum Schweigen gebracht.,But he didn't silence his critics.,But he did not silence his critics.,42.3837,0.7143,0.5,0.7143,0.9975
164,"Denn im Jahr 1783 sagte Washington: ""Die Redefreiheit kann weggenommen werden - und, dumm und stumm werden wir wie die Schafe zum Schlachten geführt.""","Because in 1783 Washington said, ""Free speech can be taken away - and, stupid and mute, we are led to slaughter like the sheep.""","Because back in 1783, Washington said, ""the freedom of Speech may be taken away - and, dumb & silent we may be led, like sheep, to the Slaughter.""",24.507,0.6939,0.2553,0.5714,0.9422
165,"Das bringt mich nach Maryland zu Gouverneur Larry Hogan, der daran arbeiten muss, mehr wie Washington zu sein.","This brings me to Maryland to Governor Larry Hogan, who has to work on being more like Washington.","That brings me to Maryland Gov. Larry Hogan, who needs to work on being more like Washington.",59.4859,0.8,0.6667,0.8,0.9762
166,"Hogans Mitarbeiter haben die Beiträge von mindestens 450 Personen blockiert und gelöscht, die ihre Meinung auf seiner offiziellen Facebook-Seite geäußert haben.",Hogan's employees have blocked and deleted the posts of at least 450 people who have expressed their opinion on his official Facebook page.,Hogan's staff has blocked and deleted the posts of at least 450 people who voiced their opinions on his official Facebook page.,63.2266,0.8511,0.7556,0.8511,0.9876
167,Und die American Civil Liberties Union verklagte ihn deswegen Anfang dieser Woche.,And the American Civil Liberties Union sued him for this earlier this week.,And the American Civil Liberties Union sued him for that earlier this week.,78.2542,0.9231,0.8333,0.9231,0.9948
